UserID,Gender,Age,Race,Province,Channel2,RecordDate2,Duration 2
865372,female,29,coloured,Kwazulu Natal,Boomerang,2016/03/28 06:07,2025-09-24T00:01:03.000Z
865372,female,29,coloured,Kwazulu Natal,Boomerang,2016/03/27 05:10,2025-09-24T00:07:27.000Z
779410,female,26,coloured,Gauteng,Cartoon Network,2016/01/21 17:19,2025-09-24T00:04:11.000Z
779410,female,26,coloured,Gauteng,Trace TV,2016/02/03 12:04,2025-09-24T00:02:36.000Z
939622,male,38,white,Mpumalanga,Boomerang,2016/03/27 23:23,2025-09-24T00:00:04.000Z
939622,male,38,white,Mpumalanga,kykNET,2016/03/28 13:14,2025-09-24T00:02:06.000Z
939622,male,38,white,Mpumalanga,CNN,2016/03/30 13:29,2025-09-24T00:00:19.000Z
830980,male,42,indian_asian,Kwazulu Natal,Boomerang,2016/03/17 10:13,2025-09-24T00:03:10.000Z
866195,male,32,white,Eastern Cape,MK,2016/03/12 00:19,2025-09-24T00:01:11.000Z
803542,male,36,indian_asian,Kwazulu Natal,Trace TV,2016/03/31 14:52,2025-09-24T00:29:03.000Z
593622,female,27,black,Gauteng,Trace TV,2016/01/21 12:05,2025-09-24T00:09:00.000Z
919180,male,36,coloured,Western Cape,Supersport Live Events,2016/03/26 09:08,2025-09-24T00:06:00.000Z
816289,female,25,black,Mpumalanga,Channel O,2016/03/08 12:48,2025-09-24T00:02:21.000Z
816289,female,25,black,Mpumalanga,CNN,2016/03/09 05:31,2025-09-24T00:00:00.000Z
416232,None,0,None,None,Boomerang,2016/02/13 05:15,2025-09-24T00:00:00.000Z
721900,None,0,None,None,SawSee,2016/02/06 19:20,2025-09-24T00:00:00.000Z
788728,male,35,black,Gauteng,ICC Cricket World Cup 2011,2016/03/15 08:58,2025-09-24T00:00:18.000Z
892557,male,20,black,Gauteng,Cartoon Network,2016/03/09 13:36,2025-09-24T00:09:13.000Z
880319,None,0,None,None,ICC Cricket World Cup 2011,2016/03/30 11:07,2025-09-24T02:09:56.000Z
939702,male,37,None,Western Cape,Boomerang,2016/03/04 19:02,2025-09-24T00:07:46.000Z
865408,male,37,black,North West,SuperSport Blitz,2016/03/16 17:59,2025-09-24T00:00:40.000Z
866251,male,30,black,Gauteng,Trace TV,2016/03/03 18:32,2025-09-24T00:28:42.000Z
788751,male,26,coloured,Western Cape,SuperSport Blitz,2016/02/01 21:35,2025-09-24T00:04:20.000Z
2360384,male,37,black,Mpumalanga,Boomerang,2016/02/08 12:09,2025-09-24T00:04:44.000Z
939717,male,27,indian_asian,Gauteng,E! Entertainment,2016/03/30 08:10,2025-09-24T00:00:46.000Z
939717,male,27,indian_asian,Gauteng,Trace TV,2016/03/29 20:22,2025-09-24T00:02:06.000Z
866270,male,32,indian_asian,Gauteng,ICC Cricket World Cup 2011,2016/03/13 12:07,2025-09-24T00:59:14.000Z
866270,male,32,indian_asian,Gauteng,Cartoon Network,2016/03/19 09:27,2025-09-24T00:20:19.000Z
817331,male,16,black,Gauteng,Channel O,2016/02/25 12:36,2025-09-24T00:16:00.000Z
820491,male,48,black,Gauteng,Supersport Live Events,2016/03/01 04:12,2025-09-24T00:00:28.000Z
830923,male,31,coloured,Western Cape,Trace TV,2016/03/03 09:16,2025-09-24T00:29:12.000Z
830923,male,31,coloured,Western Cape,E! Entertainment,2016/03/03 15:09,2025-09-24T00:00:54.000Z
830923,male,31,coloured,Western Cape,Trace TV,2016/03/04 12:30,2025-09-24T00:13:21.000Z
809083,male,40,black,Gauteng,SuperSport Blitz,2016/02/25 12:46,2025-09-24T00:18:40.000Z
809083,male,40,black,Gauteng,SawSee,2016/02/22 23:29,2025-09-24T00:01:44.000Z
866315,male,35,black,Gauteng,Trace TV,2016/03/19 18:14,2025-09-24T00:00:33.000Z
371772,female,9,indian_asian,Eastern Cape,Boomerang,2016/01/02 12:47,2025-09-24T00:05:59.000Z
371772,female,9,indian_asian,Eastern Cape,Channel O,2016/01/09 15:38,2025-09-24T00:00:00.000Z
190586,None,0,None,None,Boomerang,2016/01/17 17:07,2025-09-24T00:00:17.000Z
809123,male,50,black,Gauteng,CNN,2016/02/03 20:19,2025-09-24T00:01:00.000Z
820566,female,27,black,Gauteng,Supersport Live Events,2016/02/26 13:17,2025-09-24T00:00:44.000Z
820566,female,27,black,Gauteng,CNN,2016/02/25 18:50,2025-09-24T00:02:31.000Z
820566,female,27,black,Gauteng,DStv Events 1,2016/02/24 19:18,2025-09-24T00:01:20.000Z
809128,male,18,black,Gauteng,Trace TV,2016/02/18 21:16,2025-09-24T00:02:42.000Z
809128,male,18,black,Gauteng,Channel O,2016/02/18 21:24,2025-09-24T00:00:00.000Z
809128,male,18,black,Gauteng,Supersport Live Events,2016/01/13 12:43,2025-09-24T00:02:34.000Z
809128,male,18,black,Gauteng,Trace TV,2016/01/17 05:02,2025-09-24T00:01:12.000Z
809128,male,18,black,Gauteng,Trace TV,2016/01/16 09:35,2025-09-24T00:02:33.000Z
